@relation 'all-data-pacman-weka.filters.unsupervised.attribute.Reorder-R18-last,first-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Northlegal=False numeric
@attribute Southlegal=False numeric
@attribute Eastlegal=False numeric
@attribute Westlegal=False numeric
@attribute NumDots numeric
@attribute PosX numeric
@attribute PosY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute DistGhost1 numeric
@attribute DistGhost2 numeric
@attribute DistGhost3 numeric
@attribute DistGhost4 numeric
@attribute Score numeric
@attribute Direction {East,West,North,South,Stop}

@data
0,0,0,0,114,8,10,1,1,15,11,16,10,22,10,0,8,8,14,882,North
0,0,0,0,114,8,11,1,1,15,12,16,11,22,9,0,8,8,16,881,North
1,0,0,0,113,8,12,1,1,15,12,16,11,22,10,0,7,9,16,980,East
1,0,0,0,112,9,12,1,1,16,12,16,11,22,9,0,7,8,16,1079,East
1,0,0,0,111,10,12,1,1,16,11,16,10,22,10,0,7,8,14,1178,South
0,0,0,0,110,10,11,1,1,17,11,16,9,23,10,0,7,8,14,1277,East
0,0,0,0,109,11,11,1,1,16,11,16,8,23,10,0,5,8,13,1376,East
0,0,0,0,108,12,11,1,1,17,11,16,7,23,11,0,5,8,11,1475,East
0,0,0,0,108,13,11,1,1,17,10,16,6,23,10,0,5,8,11,1474,South
0,0,0,0,108,13,10,1,1,17,9,16,6,23,11,0,5,7,11,1473,South
0,0,0,0,108,13,9,1,1,17,10,16,6,23,10,0,5,6,11,1472,North
0,0,0,0,108,13,10,1,1,17,11,17,6,23,10,0,5,8,10,1471,North
0,0,0,0,108,13,11,1,1,16,11,18,6,23,10,0,3,10,11,1470,East
0,0,0,0,108,14,11,1,1,16,11,17,6,22,10,0,2,8,9,1469,East
0,0,0,0,107,15,11,1,1,17,11,18,6,22,9,0,2,8,9,1568,East
0,0,0,0,106,16,11,1,1,18,11,17,6,23,9,0,2,6,9,1667,East
0,0,0,0,105,17,11,1,1,18,12,17,6,23,9,0,2,5,8,1766,North
1,0,0,0,104,17,12,1,1,3,1,18,6,22,9,0,0,7,8,2065,South
0,0,0,0,104,17,11,1,1,3,1,17,6,21,9,0,0,5,6,2064,South
0,0,0,0,103,17,10,1,1,3,1,17,7,21,9,0,0,3,5,2163,South
0,0,0,0,102,17,9,1,1,3,1,18,7,22,9,0,0,3,5,2262,South
0,0,0,0,101,17,8,1,1,3,1,18,8,23,9,0,0,1,7,2361,East
0,0,0,0,101,18,8,1,1,3,1,5,1,23,9,0,0,0,6,2560,North
0,0,0,0,100,18,9,1,1,3,1,5,1,22,9,0,0,0,4,2659,East
0,0,0,0,99,19,9,1,1,3,1,5,1,23,9,0,0,0,4,2758,East
0,0,0,0,98,20,9,1,1,3,1,5,1,23,9,0,0,0,3,2857,East
0,0,0,0,1,12,10,5,6,5,12,13,6,13,12,11,9,5,3,0,North
0,0,0,0,1,12,11,6,6,6,12,14,6,13,12,11,7,7,2,-1,North
0,0,0,0,1,12,12,7,6,5,12,14,6,13,11,11,7,8,2,-2,South
0,0,0,0,1,12,11,7,7,4,12,15,6,13,11,9,9,8,1,-3,East
0,0,0,0,1,13,11,7,6,4,13,16,6,13,10,11,11,8,1,-4,South
0,0,0,0,1,13,10,7,6,3,13,16,7,7,1,10,13,6,0,195,South
