@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
9, 7, 1, 1, 3, 1, 5, 1, 16,8, East
10, 7, 1, 1, 3, 1, 5, 1, 17,8, South
10, 6, 1, 1, 3, 1, 5, 1, 17,8, South
10, 5, 1, 1, 3, 1, 5, 1, 16,8, East
11, 5, 1, 1, 3, 1, 5, 1, 16,8, East
12, 5, 1, 1, 3, 1, 5, 1, 16,9, East
13, 5, 1, 1, 3, 1, 5, 1, 15,9, East
14, 5, 1, 1, 3, 1, 5, 1, 16,9, East
15, 5, 1, 1, 3, 1, 5, 1, 17,9, East
16, 5, 1, 1, 3, 1, 5, 1, 17,9, East
17, 5, 1, 1, 3, 1, 5, 1, 18,9, South
17, 4, 1, 1, 3, 1, 5, 1, 17,9, South
17, 3, 1, 1, 3, 1, 5, 1, 17,9, West
16, 3, 1, 1, 3, 1, 5, 1, 17,9, West
15, 3, 1, 1, 3, 1, 5, 1, 18,9, West
14, 3, 1, 1, 3, 1, 5, 1, 17,9, North
14, 4, 1, 1, 3, 1, 5, 1, 18,9, North
14, 5, 1, 1, 3, 1, 5, 1, 18,8, North
14, 6, 1, 1, 3, 1, 5, 1, 17,8, North
14, 7, 1, 1, 3, 1, 5, 1, 17,9, North
14, 8, 1, 1, 3, 1, 5, 1, 17,8, East
15, 8, 1, 1, 3, 1, 5, 1, 17,8, East
16, 8, 1, 1, 3, 1, 5, 1, 17,8, East
1, 11, 6, 5, 6, 9, 8, 11, 14,6, East
2, 11, 7, 5, 6, 8, 8, 11, 14,6, East
3, 11, 8, 5, 7, 8, 7, 11, 14,7, East
4, 11, 7, 5, 7, 8, 7, 11, 14,7, East
5, 11, 7, 5, 6, 8, 8, 11, 14,8, East
6, 11, 6, 5, 6, 8, 8, 11, 14,7, East
7, 11, 7, 5, 7, 8, 9, 11, 15,7, East
8, 11, 7, 5, 7, 9, 9, 11, 14,7, East
9, 11, 7, 5, 6, 9, 5, 1, 14,7, East
10, 11, 7, 5, 6, 8, 5, 1, 14,7, South
10, 10, 7, 5, 7, 8, 5, 1, 14,7, South
10, 9, 7, 4, 7, 7, 5, 1, 15,7, South
10, 8, 6, 4, 8, 7, 5, 1, 15,8, South
10, 7, 6, 3, 8, 7, 5, 1, 15,8, South
10, 6, 7, 3, 9, 7, 5, 1, 15,7, West
9, 6, 8, 3, 8, 7, 5, 1, 14,7, West
8, 6, 7, 3, 3, 1, 5, 1, 14,7, Stop
8, 6, 7, 4, 3, 1, 5, 1, 14,8, Stop
8, 6, 8, 4, 3, 1, 5, 1, 15,8, Stop
8, 6, 8, 5, 3, 1, 5, 1, 15,7, Stop
8, 6, 8, 4, 3, 1, 5, 1, 15,7, Stop
8, 6, 8, 4, 3, 1, 5, 1, 14,7, Stop
8, 6, 9, 4, 3, 1, 5, 1, 13,7, South
8, 5, 9, 5, 3, 1, 5, 1, 13,8, South
8, 4, 8, 5, 3, 1, 5, 1, 13,9, South
8, 3, 8, 4, 3, 1, 5, 1, 13,9, Stop
8, 3, 9, 4, 3, 1, 5, 1, 12,9, Stop
8, 3, 9, 5, 3, 1, 5, 1, 11,9, West
7, 3, 9, 5, 3, 1, 5, 1, 10,9, West
6, 3, 8, 5, 3, 1, 5, 1, 9,9, West
5, 3, 9, 5, 3, 1, 5, 1, 8,9, West
4, 3, 9, 6, 3, 1, 5, 1, 9,9, East
5, 3, 8, 6, 3, 1, 5, 1, 9,8, East
6, 3, 9, 6, 3, 1, 5, 1, 9,9, East
7, 3, 9, 5, 3, 1, 5, 1, 8,9, East
8, 3, 9, 4, 3, 1, 5, 1, 8,8, North
8, 4, 9, 4, 3, 1, 5, 1, 8,7, North
8, 5, 10, 4, 3, 1, 5, 1, 9,7, North
8, 6, 10, 5, 3, 1, 5, 1, 10,7, North
8, 7, 10, 5, 3, 1, 5, 1, 10,8, North
8, 8, 11, 5, 3, 1, 5, 1, 9,8, East
9, 8, 10, 5, 3, 1, 5, 1, 7,1, East
10, 8, 11, 5, 3, 1, 5, 1, 7,1, Stop
10, 8, 10, 5, 3, 1, 5, 1, 7,1, South
10, 7, 9, 5, 3, 1, 5, 1, 7,1, South
10, 6, 9, 6, 3, 1, 5, 1, 7,1, South
10, 5, 9, 7, 3, 1, 5, 1, 7,1, South
10, 4, 8, 7, 3, 1, 5, 1, 7,1, West
9, 4, 8, 7, 3, 1, 5, 1, 7,1, West
8, 4, 8, 7, 3, 1, 5, 1, 7,1, West
7, 4, 8, 7, 3, 1, 5, 1, 7,1, North
7, 5, 8, 6, 3, 1, 5, 1, 7,1, East
8, 5, 9, 6, 3, 1, 5, 1, 7,1, East
9, 5, 9, 6, 3, 1, 5, 1, 7,1, North
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 7, 5, 6, 8, 8, 11, 14,6, Stop
1, 11, 8, 5, 5, 8, 7, 11, 14,6, East
2, 11, 8, 5, 5, 7, 8, 11, 14,7, East
3, 11, 8, 4, 5, 8, 8, 11, 13,7, East
4, 11, 7, 4, 5, 7, 9, 11, 14,7, East
5, 11, 7, 5, 6, 7, 8, 11, 14,6, East
6, 11, 6, 5, 5, 7, 7, 11, 14,5, East
7, 11, 7, 5, 5, 7, 5, 1, 14,5, East
8, 11, 8, 5, 5, 8, 5, 1, 14,4, East
9, 11, 8, 6, 5, 8, 5, 1, 15,4, East
10, 11, 8, 5, 5, 7, 5, 1, 15,5, South
10, 10, 7, 5, 6, 7, 5, 1, 15,5, South
10, 9, 6, 5, 6, 8, 5, 1, 15,4, South
10, 8, 6, 5, 6, 8, 5, 1, 16,4, West
9, 8, 6, 5, 7, 8, 5, 1, 17,4, West
8, 8, 7, 5, 3, 1, 5, 1, 17,4, West
7, 8, 7, 5, 3, 1, 5, 1, 17,3, West
6, 8, 8, 5, 3, 1, 5, 1, 17,4, South
6, 7, 9, 5, 3, 1, 5, 1, 16,4, East
7, 7, 9, 5, 3, 1, 5, 1, 17,4, East
8, 7, 9, 6, 3, 1, 5, 1, 17,4, East
9, 7, 9, 6, 3, 1, 5, 1, 17,5, East
10, 7, 9, 6, 3, 1, 5, 1, 18,5, South
10, 6, 9, 7, 3, 1, 5, 1, 18,6, West
9, 6, 8, 7, 3, 1, 5, 1, 18,7, West
8, 6, 8, 8, 3, 1, 5, 1, 18,7, North
8, 7, 9, 8, 3, 1, 5, 1, 18,7, North
8, 8, 9, 8, 3, 1, 5, 1, 18,8, North
8, 9, 9, 7, 3, 1, 5, 1, 17,8, East
9, 9, 9, 7, 3, 1, 5, 1, 16,8, South
9, 8, 9, 6, 3, 1, 5, 1, 17,8, South
9, 7, 9, 5, 3, 1, 5, 1, 17,7, South
9, 6, 9, 5, 3, 1, 5, 1, 18,7, South
9, 5, 1, 1, 3, 1, 5, 1, 17,7, South
9, 4, 1, 1, 3, 1, 5, 1, 18,7, South
9, 3, 1, 1, 3, 1, 5, 1, 17,7, Stop
9, 3, 1, 1, 3, 1, 5, 1, 17,7, East
10, 3, 1, 1, 3, 1, 5, 1, 17,7, East
11, 3, 1, 1, 3, 1, 5, 1, 17,7, North
11, 4, 1, 1, 3, 1, 5, 1, 18,7, North
11, 5, 1, 1, 3, 1, 5, 1, 18,7, Stop
11, 5, 1, 1, 3, 1, 5, 1, 18,8, East
12, 5, 1, 1, 3, 1, 5, 1, 17,8, East
13, 5, 1, 1, 3, 1, 5, 1, 18,8, East
14, 5, 1, 1, 3, 1, 5, 1, 18,7, East
15, 5, 1, 1, 3, 1, 5, 1, 17,7, East
16, 5, 1, 1, 3, 1, 5, 1, 17,7, East
17, 5, 1, 1, 3, 1, 5, 1, 17,7, East
18, 5, 1, 1, 3, 1, 5, 1, 17,7, North
18, 6, 1, 1, 3, 1, 5, 1, 16,7, North
18, 7, 1, 1, 3, 1, 5, 1, 16,7, North
18, 8, 1, 1, 3, 1, 5, 1, 17,7, West
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 5, 5, 5, 9, 9, 11, 14,6, Stop
1, 11, 6, 5, 5, 8, 8, 11, 14,6, East
2, 11, 6, 5, 6, 8, 7, 11, 14,5, East
3, 11, 7, 5, 6, 9, 7, 11, 14,5, East
4, 11, 8, 5, 5, 9, 6, 11, 14,5, East
5, 11, 8, 4, 4, 9, 5, 1, 14,6, East
6, 11, 7, 4, 3, 9, 5, 1, 14,7, East
7, 11, 6, 4, 3, 9, 5, 1, 15,7, East
8, 11, 5, 4, 2, 9, 5, 1, 15,7, East
9, 11, 4, 4, 3, 9, 5, 1, 15,7, East
10, 11, 4, 5, 2, 9, 5, 1, 16,7, East
11, 11, 3, 5, 2, 9, 5, 1, 17,7, East
12, 11, 3, 4, 1, 9, 5, 1, 17,7, East
13, 11, 3, 4, 1, 9, 5, 1, 17,8, East
14, 11, 3, 4, 2, 9, 5, 1, 17,7, East
15, 11, 3, 4, 3, 9, 5, 1, 17,8, East
16, 11, 3, 3, 3, 8, 5, 1, 18,8, East
17, 11, 4, 3, 2, 8, 5, 1, 17,8, East
18, 11, 3, 3, 3, 8, 5, 1, 16,8, South
18, 10, 4, 3, 3, 8, 5, 1, 16,9, South
18, 9, 5, 3, 3, 8, 5, 1, 16,8, West
17, 9, 5, 4, 3, 8, 5, 1, 15,8, West
16, 9, 5, 4, 3, 9, 5, 1, 16,8, West
15, 9, 5, 3, 3, 8, 5, 1, 17,8, South
15, 8, 5, 4, 3, 9, 5, 1, 17,8, South
15, 7, 4, 4, 3, 8, 5, 1, 16,8, East
16, 7, 4, 4, 3, 8, 5, 1, 16,9, East
17, 7, 5, 4, 4, 8, 5, 1, 16,8, North
17, 8, 6, 4, 5, 8, 5, 1, 16,8, North
17, 9, 7, 4, 6, 8, 5, 1, 15,8, West
16, 9, 7, 4, 6, 8, 5, 1, 15,8, West
15, 9, 7, 5, 6, 7, 5, 1, 15,7, South
