@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
14, 9, West, 6, 4, 3, 1, 5, 1, 7,1, 13, 651, West
13, 9, West, 6, 5, 3, 1, 5, 1, 7,1, 11, 650, West
12, 9, West, 5, 5, 3, 1, 5, 1, 7,1, 11, 649, West
11, 9, West, 5, 4, 3, 1, 5, 1, 7,1, 11, 648, West
10, 9, West, 4, 4, 3, 1, 5, 1, 7,1, 11, 647, South
10, 8, South, 4, 3, 3, 1, 5, 1, 7,1, 11, 646, South
10, 7, South, 5, 3, 3, 1, 5, 1, 7,1, 9, 645, South
10, 6, South, 5, 4, 3, 1, 5, 1, 7,1, 7, 744, South
10, 5, South, 5, 4, 3, 1, 5, 1, 7,1, 6, 743, South
10, 4, South, 4, 4, 3, 1, 5, 1, 7,1, 6, 742, West
9, 4, West, 4, 5, 3, 1, 5, 1, 7,1, 6, 741, West
8, 4, West, 5, 5, 3, 1, 5, 1, 7,1, 4, 740, West
7, 4, West, 6, 5, 3, 1, 5, 1, 7,1, 2, 739, West
6, 4, West, 5, 5, 3, 1, 5, 1, 7,1, 2, 738, North
6, 5, North, 4, 5, 3, 1, 5, 1, 7,1, 2, 737, Stop
6, 5, North, 4, 4, 3, 1, 5, 1, 7,1, 3, 736, Stop
6, 5, North, 4, 4, 3, 1, 5, 1, 7,1, 3, 735, West
5, 5, West, 5, 4, 3, 1, 5, 1, 7,1, 1, 734, West
4, 5, West, 5, 4, 3, 1, 5, 1, 7,1, 2, 733, West
3, 5, West, 6, 4, 3, 1, 5, 1, 7,1, 4, 732, East
4, 5, East, 6, 3, 3, 1, 5, 1, 7,1, 4, 731, East
5, 5, East, 7, 3, 3, 1, 5, 1, 7,1, 4, 730, East
6, 5, East, 7, 4, 3, 1, 5, 1, 7,1, 2, 729, South
6, 4, South, 8, 4, 3, 1, 5, 1, 7,1, 2, 728, South
6, 3, South, 9, 4, 3, 1, 5, 1, 7,1, 4, 727, East
7, 3, East, 10, 4, 3, 1, 5, 1, 7,1, 4, 726, East
8, 3, East, 11, 4, 3, 1, 5, 1, 7,1, 4, 725, East
9, 3, East, 11, 4, 3, 1, 5, 1, 7,1, 3, 724, East
10, 3, East, 11, 5, 3, 1, 5, 1, 7,1, 3, 723, North
10, 4, North, 11, 4, 3, 1, 5, 1, 7,1, 1, 722, North
10, 5, North, 11, 5, 3, 1, 5, 1, 7,1, 1, 721, North
