@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
6, 5, East, 10, 561, East
7, 5, East, 8, 560, East
8, 5, East, 7, 559, East
9, 5, East, 6, 558, East
10, 5, East, 6, 557, East
11, 5, East, 4, 556, East
12, 5, East, 3, 555, East
13, 5, East, 3, 554, South
13, 4, South, 1, 553, South
1, 11, Stop, 7, 0, South
1, 10, South, 7, -1, South
1, 9, South, 6, -2, South
1, 8, South, 4, -3, East
2, 8, East, 4, -4, East
3, 8, East, 4, -5, East
4, 8, East, 3, -6, East
5, 8, East, 1, -7, East
6, 8, East, 7, 192, East
7, 8, East, 6, 191, East
8, 8, East, 6, 190, East
9, 8, East, 5, 189, South
9, 7, South, 7, 188, South
9, 6, South, 9, 187, South
9, 5, South, 9, 186, East
10, 5, East, 9, 185, East
11, 5, East, 8, 184, East
12, 5, East, 7, 183, East
13, 5, East, 6, 182, East
14, 5, East, 6, 181, North
14, 6, North, 4, 180, North
14, 7, North, 4, 179, North
14, 8, North, 2, 178, North
14, 9, North, 18, 577, North
14, 10, North, 18, 676, North
14, 11, North, 18, 675, Stop
14, 11, North, 18, 674, Stop
14, 11, North, 19, 673, West
13, 11, West, 17, 672, West
12, 11, West, 17, 671, West
11, 11, West, 15, 670, West
10, 11, West, 13, 669, West
9, 11, West, 12, 668, West
8, 11, West, 10, 667, West
7, 11, West, 10, 666, West
6, 11, West, 10, 665, South
6, 10, South, 10, 664, South
6, 9, South, 9, 663, South
6, 8, South, 7, 662, South
6, 7, South, 7, 661, East
7, 7, East, 9, 660, East
8, 7, East, 9, 659, East
9, 7, East, 10, 658, East
10, 7, East, 10, 657, South
10, 6, South, 8, 756, South
10, 5, South, 7, 755, South
10, 4, South, 7, 754, South
10, 3, South, 7, 753, East
11, 3, East, 9, 752, Stop
11, 3, East, 9, 751, North
11, 4, North, 8, 750, North
11, 5, North, 6, 749, Stop
11, 5, North, 7, 748, West
10, 5, West, 5, 747, West
9, 5, West, 5, 746, West
8, 5, West, 3, 745, West
7, 5, West, 1, 744, West
1, 11, Stop, 7, 0, Stop
1, 11, Stop, 6, -1, Stop
1, 11, Stop, 6, -2, Stop
1, 11, Stop, 5, -3, East
2, 11, East, 3, -4, East
3, 11, East, 3, -5, East
4, 11, East, 2, -6, East
5, 11, East, 2, -7, East
